Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Group|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Background
-3000||||-2600|||||Pre Harappan||Prehistoric & Bronze Age|||||||
-3000||||-1000|||||Chalcolithic Age||Prehistoric & Bronze Age|https://www.india-a2z.com/images/copper.jpg||||||
-2600||||-1900|||||Mature Harappan||Prehistoric & Bronze Age|||||||
-1900||||-1700|||||Late Harappan||Prehistoric & Bronze Age|||||||
-1500||||-500|||||Vedic Age||Vedic & Early Iron Age|https://i.ytimg.com/vi/Z0AMJiKTFSU/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLDTuL0iqsvVRV2zl-gSRQFxh__A7w||||||
-1500||||-1000|||||Early Vedic Age||Vedic & Early Iron Age|https://mayapurvoice.com/svagatam/wp-content/uploads/2017/02/cowprotection3.jpg||||||
-1500|||||||||Migration of Aryans to India||Vedic & Early Iron Age|https://cn.edurev.in/ApplicationImages/Temp/59_4c267cee-d504-4187-a5ad-fa9d9c4b62d4_lg.png?w=400&dpr=2.6||||||
-1000|||||||||Dasarajan War||Vedic & Early Iron Age|https://dharmayudh.com/wp-content/uploads/2022/08/dasarajna2.jpg||||||
-1000||||-500|||||Later Vedic Age||Vedic & Early Iron Age|||||||
-600||||750|||||Ancient Period||Classical Empires|||||||
-556||||-412|||||Haryanka Dynasty||Classical Empires|https://upload.wikimedia.org/wikipedia/commons/3/31/Magadha_Expansion_%286th-4th_centuries_BCE%29.png||||||
-554||||-492|||||Bimbisara||Classical Empires|||||||
-492||||-460|||||Ajatashatru||Classical Empires|||||||
-483|||||||||First Buddhist Council|At Rajgir|Buddhism|https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Nava_Jetavana_Temple_-_Shravasti_-_013_First_Council_at_Rajagaha_%289241729223%29.jpg/1200px-Nava_Jetavana_Temple_-_Shravasti_-_013_First_Council_at_Rajagaha_%289241729223%29.jpg||||||
-412||||-345|||||Shishunaga Dynasty||Classical Empires|https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Magadha_Expansion_%286th-4th_centuries_BCE%29.png/500px-Magadha_Expansion_%286th-4th_centuries_BCE%29.png||||||
-383|||||||||Second Buddhist Council|At Vaishali|Buddhism|https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpLiUenCD5F0Op642Vo5FzKEbk-K1Ztlbyhg&s||||||
-344||||-323|||||Nanda Dynasty||Classical Empires|||||||
-321||||-185|||||Maurya Dynasty||Classical Empires|||||||
-321|||||||||Chandragupta Maurya||Classical Empires|https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSU0GLRNphyk0wRIfsRqOK1xV_iMdXDf4LyBl3edYVUFvmhWudTEzQshP5pw-4_giDiP2skAhjKQlLjUDkIca3C9g||||||
-299||||-273|||||Bindusar||Classical Empires|https://ancientales.wordpress.com/wp-content/uploads/2015/09/ashoka2.jpg||||||
-269||||-232|||||Reign of Ahoka||Classical Empires|https://qph.cf2.quoracdn.net/main-qimg-7668d43cfc83498fd65fb31138adc25b-lq||||||
-250|||||||||Third Buddhist Council|At Pataliputra|Buddhism|https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Nava_Jetavana_Temple_-_Shravasti_-_014_King_Asoka_at_the_Third_Council_%289241725897%29.jpg/2880px-Nava_Jetavana_Temple_-_Shravasti_-_014_King_Asoka_at_the_Third_Council_%289241725897%29.jpg||||||
-185||||-75|||||Sunga Dynasty||Classical Empires|https://upload.wikimedia.org/wikipedia/commons/a/a5/Map_of_the_Shungas.png||||||
78||||101|||||Fourth Buddhist Council|At Kundalwan Kashmir sdafasd asdfasd asdf|Buddhism|https://i0.wp.com/glimpsesofhistory.com/wp-content/uploads/2020/07/buddhist-council-1-large.jpg?resize=330%2C197&ssl=1||||||
750||||1200|||||Early Medieval||Medieval Period|https://www.insightsonindia.com/wp-content/uploads/2021/08/kannauj-triangle.png||||||
1200||||1707|||||Late Medieval||Medieval Period|https://timemaps.com/wp-content/uploads/2016/10/newsouthasia_ad979.jpg||||||
1921|||||||||Harappa excavation|By Dayaram Sahni|Misc|||||||
1922|||||||||Mohenjo Daro excavation|By RD Banerjee|Misc|||||||
