Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Group|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Background
1773|||||||||Regulating Act|First parliamentary act to supervise East India Company. Created Governor-General position and Council of Four. Established Supreme Court in Calcutta.|British Acts|||||||
1784|||||||||Pitt's India Act|Established dual control of British India by British government and East India Company. Created Board of Control.|British Acts|||||||
1793|||||||||Charter Act|Renewed East India Company's charter for 20 years. Codified laws and regulations. Known as Cornwallis Code.|British Acts|||||||
1813|||||||||Charter Act|Ended East India Company's monopoly on trade with India except for tea and trade with China. Allowed Christian missionaries to enter India.|British Acts|||||||
1833|||||||||Charter Act|Ended East India Company's commercial functions, making it purely administrative. Governor-General of Bengal became Governor-General of India. First Law Commission established.|British Acts|||||||
1853|||||||||Charter Act|Introduced open competition for civil service. Legislative Council functioned like a mini parliament. Company's charter extended without time limit.|British Acts|||||||
1858|||||||||Government of India Act|Transferred control from East India Company to British Crown. Created Secretary of State for India and India Council. Queen Victoria's Proclamation.|British Acts|||||||
1861|||||||||Indian Councils Act|Established new legislative councils. Viceroy could nominate Indians as non-official members.|British Acts|||||||
1892|||||||||Indian Councils Act|Increased number of non-official members in Legislative Councils. Introduced indirect elections.|British Acts|||||||
1909|||||||||Indian Councils Act (Morley-Minto Reforms)|Introduced separate electorates for Muslims. Enlarged legislative councils but maintained official majority.|British Acts|||||||
1919|||||||||Government of India Act (Montagu-Chelmsford Reforms)|Introduced dyarchy in provinces. Divided subjects into transferred and reserved. Extended franchise.|British Acts|||||||
1935|||||||||Government of India Act|Proposed All-India Federation and provincial autonomy. Introduced direct elections. Extended franchise. Remained in force until 1947.|British Acts|||||||
1775||||1782|||||First Anglo Maratha War|Maratha victory, Treaty of Salbai, British recognized Maratha power|War|||||||
1803||||1805|||||Second Anglo-Maratha War|British victory. Treaties of Deogaon, Surji-Anjangaon, Rajpurghat. British gained strategic territory.|War|||||||
1817||||1819|||||Third Anglo-Maratha War|British victory. Peshwaship abolished, Maratha confederacy dissolved. Treaties of Poona, Gwalior, Mandasor.|War|||||||
1767||||1769|||||First Anglo-Mysore War|Ended with Treaty of Madras. Mutual territory restitution and defensive alliance.|War|||||||
1780||||1784|||||Second Anglo-Mysore War|Ended with Treaty of Mangalore. Return to pre-war status quo.|War|||||||
1790||||1792|||||Third Anglo-Mysore War|Ended with Treaty of Seringapatam. Mysore lost half its territory.|War|||||||
