Year|Month|Day|Time|End Year|End Month|End Day|End Time|Display Date|Headline|Text|Media|Media Credit|Media Caption|Media Thumbnail|Alt Text|Type|Group|Background
1892 | | | | | | | | | Indian Councils Act | <h3>Event Summary</h3><p>The Indian Councils Act of 1892 was criticized for failing to satisfy nationalist demands.</p><h4>Key Details</h4><ul><li>The Act was seen as inadequate by nationalists</li><li>This was one of the catalysts for the growth of militant nationalism</li><li>Represented British reluctance to grant more rights to Indians</li></ul><h4>Significance</h4><p>The Act's failure to meet nationalist expectations contributed to the shift from moderate to militant nationalism.</p> | | | | | | | Constitutional Development |
1897 | | | | | | | | | Deportation of Natu brothers and imprisonment of Tilak | <h3>Event Summary</h3><p>The Natu brothers were deported without trial and Bal Gangadhar Tilak was imprisoned.</p><h4>Key Details</h4><ul><li>The deportation occurred without trial</li><li>Tilak, a prominent nationalist leader, was imprisoned</li><li>This was part of British repressive measures against nationalist activities</li></ul><h4>Significance</h4><p>These actions demonstrated the repressive nature of British colonial rule and contributed to growing nationalist resentment.</p> | | | | | | | British |
1897 | | | | | | | | | Establishment of Bengal Chemicals | <h3>Event Summary</h3><p>Bengal Chemicals was established by Prafullachandra Ray.</p><h4>Key Details</h4><ul><li>Founded by scientist Prafullachandra Ray</li><li>Represented an early swadeshi enterprise</li><li>Part of the self-reliance movement in Indian industry</li></ul><h4>Significance</h4><p>This was one of the indigenous businesses established as part of the swadeshi movement promoting economic self-reliance.</p> | | | | | | | Economic Policies |
1897 | | | | | | | | | Launch of Dawn newspaper | <h3>Event Summary</h3><p>Satishchandra Mukherjee launched the Dawn newspaper to promote self-reliance.</p><h4>Key Details</h4><ul><li>Founded by Satishchandra Mukherjee</li><li>The newspaper advocated for self-reliance</li><li>Served as a platform for nationalist ideas</li></ul><h4>Significance</h4><p>The publication contributed to spreading ideas of self-reliance and nationalism.</p> | | | | | | | Freedom Movement |
1898 | | | | | | | | | Amplification of repressive laws | <h3>Event Summary</h3><p>Repressive laws under IPC Section 124A and 156A were amplified by the British government.</p><h4>Key Details</h4><ul><li>Section 124A dealt with the offense of sedition</li><li>The laws were strengthened to suppress nationalist activities</li><li>Part of increasing British repression against Indian nationalism</li></ul><h4>Significance</h4><p>The amplification of these laws represented growing British intolerance toward nationalist expression and contributed to militant nationalism.</p> | | | | | | | British |
1899 | | | | | | | | | Reduction of Indian members in Calcutta Corporation | <h3>Event Summary</h3><p>The number of Indian members in the Calcutta Corporation was reduced by the British government.</p><h4>Key Details</h4><ul><li>Decreased Indian representation in local governance</li><li>Part of British measures to limit Indian political participation</li><li>Contributed to nationalist grievances</li></ul><h4>Significance</h4><p>This reduction in representation was seen as another example of British efforts to curtail Indian political rights.</p> | | | | | | | British |
1896 | | | | 1900 | | | | | Indian Famines | <h3>Event Summary</h3><p>A series of devastating famines occurred across India, killing 90 lakh (9 million) people.</p><h4>Key Details</h4><ul><li>The famines exposed colonial exploitation</li><li>1896-1897 famine caused 1-3 million deaths across Central India</li><li>1899-1900 Bombay Famine resulted in 1-4.5 million deaths</li><li>Relief efforts were inadequate due to laissez-faire policies</li><li>Continued grain exports worsened the situation</li></ul><h4>Significance</h4><p>The famines revealed the exploitative nature of colonial rule and contributed to growing anti-British sentiment.</p> | | | | | | | British |
1868 | | | | | | | | | Meiji Restoration in Japan | <h3>Event Summary</h3><p>The Meiji Restoration in Japan served as an international example that inspired Indian nationalists.</p><h4>Key Details</h4><ul><li>Represented Japan's modernization and rise as an Asian power</li><li>Provided an example of an Asian nation successfully modernizing</li><li>Inspired Indian nationalists seeking to challenge European dominance</li></ul><h4>Significance</h4><p>Japan's rise through the Meiji Restoration served as an inspirational model for Indian nationalists.</p> | | | | | | | Freedom Movement |
1896 | | | | | | | | | Ethiopian victory over Italian Army | <h3>Event Summary</h3><p>Ethiopians defeated the Italian Army, providing an example of European military defeat.</p><h4>Key Details</h4><ul><li>An African nation successfully resisted European colonization</li><li>Demonstrated that European armies were not invincible</li><li>Served as inspiration for anti-colonial movements</li></ul><h4>Significance</h4><p>This victory inspired Indian nationalists by showing that European colonial powers could be defeated.</p> | | | | | | | Freedom Movement |
1899 | | | | 1902 | | | | | Boer Wars | <h3>Event Summary</h3><p>The Boer Wars represented another example of resistance to European colonial powers.</p><h4>Key Details</h4><ul><li>Conflict between Boers and British in South Africa</li><li>Demonstrated challenges to British imperial power</li><li>Served as an international example inspiring Indian nationalists</li></ul><h4>Significance</h4><p>The wars showed vulnerability in British imperial power and inspired anti-colonial movements.</p> | | | | | | | Wars |
